33201, 星河市, 科技园区, 星云科技大厦, 前台
33202, 星河市, 科技园区, 星云科技大厦, 会议室
33203, 星河市, 科技园区, 星云科技大厦, 茶水间
33204, 星河市, 科技园区, 华芯半导体大厦, 前台
33205, 星河市, 科技园区, 华芯半导体大厦, 产线车间
33206, 星河市, 科技园区, 华芯半导体大厦, 会议室
33207, 星河市, 中央商务区, 智联软件大厦, 前台
33208, 星河市, 中央商务区, 智联软件大厦, 开放办公区
33209, 星河市, 中央商务区, 智联软件大厦, 咖啡角
33210, 星河市, 中央商务区, 星河重工大厦, 前台
33211, 星河市, 中央商务区, 星河重工大厦, 装配车间
33212, 星河市, 中央商务区, 星河重工大厦, 食堂
33213, 星河市, 市民广场, 市政府大楼, 大厅
33214, 星河市, 市民广场, 市政府大楼, 会议室
33215, 星河市, 市民广场, 市政府大楼, 政策研究室
33216, 星河市, 市民广场, 中央广场, 喷泉
33217, 星河市, 市民广场, 中央广场, 长椅
